Symbol,Sector,Correlation,Cap_Category
ASIANHOTNR,NIFTY INDIA MFG,0.7537,Small Cap
ASIANTILES,NIFTY INDIA MFG,0.819,Small Cap
ASPINWALL,NIFTY CONSUMPTION,0.7281,Micro Cap
ASTEC,NIFTY CONSUMPTION,0.9305,Small Cap
ASTERDM,NIFTY CONSUMPTION,0.877,Large Cap
ASTRAMICRO,NIFTY ALPHA 50,0.8811,Mid Cap
ASTRON,NIFTY IND DIGITAL,0.7351,Micro Cap
ATFL,NIFTY IT,0.8948,Unknown
ATGL,NIFTY ENERGY,0.9387,Large Cap
ATLANTA,NIFTY ALPHA 50,0.8867,Unknown
ATUL,NIFTY ALPHA 50,0.9704,Mid Cap
ATULAUTO,NIFTY CONSR DURBL,0.433,Small Cap
AUBANK,NIFTY 50,0.9324,Large Cap
AURIONPRO,NIFTY ALPHA 50,0.8643,Mid Cap
AUSOMENT,NIFTY CONSUMPTION,0.8777,Micro Cap
AUTOAXLES,NIFTY 500,0.8965,Small Cap
AUTOIND,NIFTY 500,0.8356,Micro Cap
AVANTIFEED,NIFTY CONSUMPTION,0.6962,Mid Cap
AVTNPL,NIFTY ALPHA 50,0.908,Small Cap
AWL,NIFTY FMCG,0.7107,Large Cap
AXISBANK,NIFTY BANK,0.862,Large Cap
AXISBPSETF,NIFTY IND DIGITAL,0.8217,Unknown
AXISCADES,NIFTY CPSE,0.881,Mid Cap
AXISHCETF,NIFTY HEALTHCARE,0.9769,Unknown
AXISNIFTY,NIFTY LARGEMID250,0.9828,Unknown
AXITA,NIFTY CONSUMPTION,0.9296,Micro Cap
BAJAJ-AUTO,NIFTY CONSUMPTION,0.8905,Large Cap
BAJAJCON,NIFTY INDIA MFG,0.9201,Small Cap
BAJAJFINSV,NIFTY 100,0.9769,Large Cap
BAJAJHCARE,NIFTY LARGEMID250,0.8257,Small Cap
BAJAJHIND,NIFTY ALPHA 50,0.8609,Small Cap
BAJAJHLDNG,NIFTY ENERGY,0.9635,Large Cap
BAJFINANCE,NIFTY FIN SERVICE,0.9794,Large Cap
BALAJITELE,NIFTY INDIA MFG,0.8577,Small Cap
BALAMINES,NIFTY ALPHA 50,0.9545,Small Cap
BALKRISHNA,NIFTY LARGEMID250,0.7946,Micro Cap
BALKRISIND,NIFTY 100,0.9556,Large Cap
BALMLAWRIE,NIFTY IND DIGITAL,0.8382,Small Cap
BALPHARMA,NIFTY ALPHA 50,0.9456,Micro Cap
BALRAMCHIN,NIFTY ALPHA 50,0.9452,Mid Cap
BANARISUG,NIFTY CONSUMPTION,0.9277,Small Cap
BANDHANBNK,NIFTY LARGEMID250,0.9386,Large Cap
BANKA,NIFTY COMMODITIES,0.7045,Micro Cap
BANKINDIA,NIFTY LARGEMID250,0.9434,Large Cap
BASF,NIFTY ALPHA 50,0.9515,Mid Cap
BAYERCROP,NIFTY IND DIGITAL,0.7266,Large Cap
BBOX,NIFTY IT,0.8832,Mid Cap
BBTC,NIFTY FMCG,0.5717,Mid Cap
BCG,NIFTY IND DIGITAL,0.8169,Small Cap
BCP,NIFTY INDIA MFG,0.6601,Unknown
BDL,NIFTY ENERGY,0.8255,Large Cap
BEARDSELL,NIFTY CPSE,0.7314,Micro Cap
BECTORFOOD,NIFTY IND DIGITAL,0.6963,Mid Cap
BEL,NIFTY LARGEMID250,0.9462,Large Cap
BEPL,NIFTY INDIA MFG,0.8851,Small Cap
BERGEPAINT,NIFTY FIN SERVICE,0.9048,Large Cap
BESTAGRO,NIFTY INFRA,0.8819,Small Cap
BGRENERGY,NIFTY ALPHA 50,0.8975,Small Cap
BHAGCHEM,NIFTY FMCG,0.8063,Small Cap
BHAGYANGR,NIFTY 500,0.8962,Micro Cap
BHARATFORG,NIFTY 500,0.9633,Large Cap
BHARATRAS,NIFTY FMCG,0.9388,Small Cap
BHEL,NIFTY IND DIGITAL,0.8378,Large Cap
BIL,NIFTY ALPHA 50,0.8018,Small Cap
BIOFILCHEM,NIFTY LARGEMID250,0.8314,Micro Cap
BIRLACABLE,NIFTY CPSE,0.8173,Micro Cap
BIRLACORPN,NIFTY ALPHA 50,0.907,Mid Cap
BLBLIMITED,NIFTY ENERGY,0.8447,Micro Cap
BLS,NIFTY CONSUMPTION,0.8213,Mid Cap
BODALCHEM,NIFTY 500,0.882,Small Cap
BOMDYEING,NIFTY LARGEMID250,0.8941,Small Cap
BOROLTD,NIFTY ENERGY,0.8653,Small Cap
BORORENEW,NIFTY ENERGY,0.9069,Mid Cap
BOSCHLTD,NIFTY INDIA MFG,0.8597,Large Cap
BPL,NIFTY 500,0.8188,Micro Cap
BRNL,Unassigned,0.3383,Micro Cap
BSL,NIFTY ALPHA 50,0.8446,Micro Cap
BSLGOLDETF,NIFTY FMCG,0.8105,Unknown
BSLNIFTY,NIFTY 500,0.9972,Unknown
BSLSENETFG,NIFTY 50,0.9865,Unknown
BSOFT,NIFTY ALPHA 50,0.9745,Mid Cap
BURNPUR,NIFTY ALPHA 50,0.8573,Micro Cap
BUTTERFLY,NIFTY INFRA,0.9099,Small Cap
BYKE,NIFTY CPSE,0.9554,Micro Cap
CALSOFT,NIFTY LARGEMID250,0.7944,Micro Cap
CAMLINFINE,NIFTY 500,0.8427,Small Cap
CAMPUS,NIFTY CONSUMPTION,0.9021,Mid Cap
CAMS,NIFTY 500,0.7895,Mid Cap
CANBK,NIFTY LARGEMID250,0.9201,Large Cap
CAPACITE,NIFTY LARGEMID250,0.8742,Small Cap
CAPLIPOINT,NIFTY CONSUMPTION,0.9324,Mid Cap
CAPTRUST,NIFTY IND DIGITAL,0.7268,Micro Cap
CARBORUNIV,NIFTY 500,0.9659,Mid Cap
CAREERP,NIFTY LARGEMID250,0.8069,Unknown
CARERATING,NIFTY CPSE,0.4776,Small Cap
CARTRADE,NIFTY LARGEMID250,0.7912,Mid Cap
CASTROLIND,NIFTY LARGEMID250,0.8686,Mid Cap
CCL,NIFTY ALPHA 50,0.9061,Mid Cap
CDSL,NIFTY ALPHA 50,0.9843,Large Cap
CEATLTD,NIFTY AUTO,0.7052,Mid Cap
CELEBRITY,NIFTY CPSE,0.7852,Micro Cap
CENTENKA,NIFTY ALPHA 50,0.9453,Small Cap
CENTRALBK,NIFTY CPSE,0.6671,Large Cap
CENTRUM,NIFTY LARGEMID250,0.7858,Small Cap
CENTUM,NIFTY 500,0.7905,Small Cap
CENTURYPLY,NIFTY ALPHA 50,0.9581,Mid Cap
CENTURYTEX,NIFTY LARGEMID250,0.9128,Unknown
CERA,NIFTY 500,0.9663,Mid Cap
CEREBRAINT,NIFTY ALPHA 50,0.9038,Micro Cap
CESC,NIFTY LARGEMID250,0.8907,Large Cap
CGCL,NIFTY CONSUMPTION,0.953,Mid Cap
CGPOWER,NIFTY ALPHA 50,0.8882,Large Cap
CHALET,NIFTY HEALTHCARE,0.7675,Mid Cap
CHAMBLFERT,NIFTY ALPHA 50,0.9682,Mid Cap
CHEMBOND,NIFTY LARGEMID250,0.8031,Micro Cap
CHEMCON,NIFTY HEALTHCARE,0.7192,Small Cap
CHEMFAB,NIFTY CPSE,0.6451,Small Cap
CHEMPLASTS,NIFTY IT,0.7675,Small Cap
CHENNPETRO,NIFTY INDIA MFG,0.8017,Mid Cap
CHOICEIN,NIFTY AUTO,0.9366,Mid Cap
CHOLAHLDNG,NIFTY 500,0.9271,Large Cap
CINELINE,NIFTY CONSUMPTION,0.8639,Micro Cap
CINEVISTA,NIFTY CONSUMPTION,0.9054,Micro Cap
CLEDUCATE,NIFTY CPSE,0.927,Micro Cap
CMICABLES,NIFTY IND DIGITAL,0.664,Micro Cap
COASTCORP,NIFTY IND DIGITAL,0.8346,Micro Cap
COFFEEDAY,NIFTY CONSR DURBL,0.5597,Small Cap
COMPINFO,NIFTY ALPHA 50,0.913,Micro Cap
CONFIPET,NIFTY 500,0.9484,Small Cap
CONSUMBEES,NIFTY 500,0.9608,Unknown
CONTROLPR,NIFTY CPSE,0.8852,Small Cap
CORALFINAC,NIFTY ALPHA 50,0.9051,Micro Cap
CORDSCABLE,NIFTY INDIA MFG,0.8668,Micro Cap
COROMANDEL,NIFTY FMCG,0.9158,Large Cap
COUNCODOS,NIFTY ALPHA 50,0.7515,Micro Cap
CREATIVE,NIFTY ENERGY,0.8881,Small Cap
CREST,NIFTY CONSUMPTION,0.8347,Small Cap
CRISIL,NIFTY ALPHA 50,0.9143,Large Cap
CSBBANK,NIFTY FIN SERVICE,0.6707,Mid Cap
CSLFINANCE,NIFTY HEALTHCARE,0.757,Small Cap
CUB,NIFTY LARGEMID250,0.8102,Large Cap
CUBEXTUB,NIFTY CONSUMPTION,0.8956,Micro Cap
CYBERMEDIA,NIFTY COMMODITIES,0.6643,Micro Cap
CYIENT,NIFTY 500,0.9544,Mid Cap
DABUR,NIFTY FMCG,0.9383,Large Cap
DALMIASUG,NIFTY ALPHA 50,0.9559,Small Cap
DAMODARIND,NIFTY ALPHA 50,0.8649,Micro Cap
DANGEE,NIFTY ENERGY,0.8607,Micro Cap
DATAMATICS,NIFTY ALPHA 50,0.9292,Small Cap
DATAPATTNS,NIFTY CONSUMPTION,0.8516,Mid Cap
DBCORP,Unassigned,0.3215,Small Cap
DBL,NIFTY INDIA MFG,0.9086,Mid Cap
DBREALTY,NIFTY CPSE,0.7743,Mid Cap
DBSTOCKBRO,NIFTY ALPHA 50,0.7654,Micro Cap
DCAL,NIFTY IND DIGITAL,0.7623,Small Cap
DCBBANK,Unassigned,0.325,Mid Cap
DCM,NIFTY ALPHA 50,0.8389,Micro Cap
DCMNVL,NIFTY ALPHA 50,0.9432,Micro Cap
DCMSRIND,NIFTY ALPHA 50,0.8025,Small Cap
DEEPAKFERT,NIFTY COMMODITIES,0.8621,Mid Cap
DEEPINDS,NIFTY CPSE,0.9157,Small Cap
DELPHIFX,NIFTY IND DIGITAL,0.7708,Micro Cap
DELTAMAGNT,NIFTY CPSE,0.9171,Micro Cap
DEVIT,NIFTY FMCG,0.8113,Micro Cap
DGCONTENT,NIFTY 500,0.7341,Micro Cap
DHANI,NIFTY IND DIGITAL,0.6239,Small Cap
DHARAMSI,NIFTY ENERGY,0.8636,Unknown
DHRUV,NIFTY INFRA,0.6563,Micro Cap
DIAMONDYD,NIFTY HEALTHCARE,0.868,Small Cap
DIGISPICE,NIFTY INDIA MFG,0.8353,Small Cap
DIL,NIFTY IT,0.7898,Micro Cap
DISHTV,NIFTY CPSE,0.5991,Small Cap
DIVISLAB,NIFTY IT,0.9592,Large Cap
DIVOPPBEES,NIFTY 500,0.9882,Unknown
DIXON,NIFTY IT,0.9609,Large Cap
DLF,NIFTY 500,0.9675,Large Cap
DLINKINDIA,NIFTY 500,0.8871,Small Cap
DMART,NIFTY IT,0.9509,Large Cap
