date,day_high,day_low,day_open,day_close,day_start,prev_high,prev_low,prev_close,opening_position
2015-01-12,8332.25,8245.6,8291.35,8326.55,2015-01-12 09:15:00,8303.0,8191.1,8280.25,INSIDE
2015-01-13,8356.65,8268.15,8346.15,8303.8,2015-01-13 09:15:00,8332.25,8245.6,8326.55,ABOVE
2015-01-14,8326.3,8236.75,8307.25,8287.75,2015-01-14 09:15:00,8356.65,8268.15,8303.8,INSIDE
2015-01-15,8526.9,8380.75,8425.2,8461.15,2015-01-15 09:15:00,8326.3,8236.75,8287.75,ABOVE
2015-01-19,8570.8,8531.7,8553.4,8550.3,2015-01-19 09:25:00,8526.9,8380.75,8461.15,ABOVE
2015-01-20,8707.75,8574.65,8575.1,8691.25,2015-01-20 09:15:00,8570.8,8531.7,8550.3,ABOVE
2015-01-21,8741.5,8689.7,8719.65,8728.05,2015-01-21 09:15:00,8707.75,8574.65,8691.25,ABOVE
2015-01-22,8774.0,8727.15,8745.85,8762.2,2015-01-22 09:15:00,8741.5,8689.7,8728.05,ABOVE
2015-01-23,8866.15,8795.6,8827.95,8823.55,2015-01-23 09:15:00,8774.0,8727.15,8762.2,ABOVE
2015-01-27,8924.95,8825.55,8871.35,8904.2,2015-01-27 09:15:00,8866.15,8795.6,8823.55,ABOVE
2015-01-28,8985.05,8874.2,8902.75,8906.8,2015-01-28 09:15:00,8924.95,8825.55,8904.2,INSIDE
2015-01-29,8966.2,8861.65,8901.5,8950.2,2015-01-29 09:15:00,8985.05,8874.2,8906.8,INSIDE
2015-01-30,8996.6,8775.6,8996.6,8821.45,2015-01-30 09:15:00,8966.2,8861.65,8950.2,ABOVE
2015-02-02,8839.9,8751.45,8802.5,8798.15,2015-02-02 09:15:00,8996.6,8775.6,8821.45,INSIDE
2015-02-03,8836.45,8726.65,8823.15,8746.65,2015-02-03 09:15:00,8839.9,8751.45,8798.15,INSIDE
2015-02-04,8791.45,8704.7,8789.15,8713.95,2015-02-04 09:15:00,8836.45,8726.65,8746.65,INSIDE
2015-02-05,8838.3,8683.95,8733.1,8699.4,2015-02-05 09:15:00,8791.45,8704.7,8713.95,INSIDE
2015-02-06,8725.8,8646.65,8696.85,8666.0,2015-02-06 09:15:00,8838.3,8683.95,8699.4,INSIDE
2015-02-09,8603.9,8516.35,8584.4,8518.3,2015-02-09 09:15:00,8725.8,8646.65,8666.0,BELOW
2015-02-10,8646.15,8472.05,8478.1,8578.85,2015-02-10 09:15:00,8603.9,8516.35,8518.3,BELOW
2015-02-11,8651.9,8594.05,8603.3,8635.5,2015-02-11 09:15:00,8646.15,8472.05,8578.85,INSIDE
2015-02-12,8732.15,8599.4,8676.95,8728.4,2015-02-12 09:15:00,8651.9,8594.05,8635.5,ABOVE
2015-02-13,8821.7,8730.0,8741.5,8803.05,2015-02-13 09:15:00,8732.15,8599.4,8728.4,ABOVE
2015-02-16,8869.95,8793.7,8831.4,8808.7,2015-02-16 09:15:00,8821.7,8730.0,8803.05,ABOVE
2015-02-18,8893.9,8810.05,8811.55,8865.25,2015-02-18 09:15:00,8869.95,8793.7,8808.7,INSIDE
2015-02-19,8913.45,8794.55,8883.05,8898.35,2015-02-19 09:15:00,8893.9,8810.05,8865.25,INSIDE
2015-02-20,8895.5,8816.5,8895.5,8827.7,2015-02-20 09:15:00,8913.45,8794.55,8898.35,INSIDE
2015-02-23,8868.9,8737.25,8856.85,8742.8,2015-02-23 09:15:00,8895.5,8816.5,8827.7,INSIDE
2015-02-24,8800.5,8727.25,8772.9,8760.8,2015-02-24 09:15:00,8868.9,8737.25,8742.8,INSIDE
2015-02-25,8840.5,8751.65,8802.65,8765.25,2015-02-25 09:15:00,8800.5,8727.25,8760.8,ABOVE
2015-02-26,8783.6,8669.85,8779.0,8694.65,2015-02-26 09:15:00,8840.5,8751.65,8765.25,INSIDE
2015-02-27,8856.95,8717.6,8729.5,8850.65,2015-02-27 09:15:00,8783.6,8669.85,8694.65,INSIDE
2015-02-28,8940.8,8751.6,8913.05,8920.75,2015-02-28 09:15:00,8856.95,8717.6,8850.65,ABOVE
2015-03-02,8971.7,8885.65,8954.6,8961.55,2015-03-02 09:15:00,8940.8,8751.6,8920.75,ABOVE
2015-03-03,9008.25,8925.7,8962.85,8996.75,2015-03-03 09:15:00,8971.7,8885.65,8961.55,INSIDE
2015-03-04,9117.3,8894.5,9109.15,8918.4,2015-03-04 09:15:00,9008.25,8925.7,8996.75,ABOVE
2015-03-05,8957.35,8849.45,8929.4,8937.75,2015-03-05 09:15:00,9117.3,8894.5,8918.4,INSIDE
2015-03-09,8877.3,8740.45,8877.3,8743.25,2015-03-09 09:15:00,8957.35,8849.45,8937.75,INSIDE
2015-03-10,8777.95,8677.6,8769.75,8725.6,2015-03-10 09:15:00,8877.3,8740.45,8743.25,INSIDE
2015-03-11,8755.3,8682.5,8728.75,8701.8,2015-03-11 09:15:00,8777.95,8677.6,8725.6,INSIDE
2015-03-12,8786.2,8733.5,8740.65,8771.4,2015-03-12 09:15:00,8755.3,8682.5,8701.8,INSIDE
2015-03-13,8844.05,8632.4,8844.05,8661.1,2015-03-13 09:15:00,8786.2,8733.5,8771.4,ABOVE
2015-03-16,8660.8,8612.15,8641.1,8639.6,2015-03-16 09:35:00,8844.05,8632.4,8661.1,INSIDE
2015-03-17,8742.1,8631.15,8689.1,8722.35,2015-03-17 09:15:00,8660.8,8612.15,8639.6,ABOVE
2015-03-18,8746.4,8664.35,8742.9,8680.9,2015-03-18 09:15:00,8742.1,8631.15,8722.35,ABOVE
2015-03-19,8787.95,8614.95,8749.45,8622.9,2015-03-19 09:15:00,8746.4,8664.35,8680.9,ABOVE
2015-03-20,8627.9,8553.3,8627.9,8584.85,2015-03-20 09:15:00,8787.95,8614.95,8622.9,INSIDE
2015-03-23,8607.9,8540.75,8591.55,8550.95,2015-03-23 09:15:00,8627.9,8553.3,8584.85,INSIDE
2015-03-24,8626.65,8536.95,8537.05,8549.9,2015-03-24 09:15:00,8607.9,8540.75,8550.95,BELOW
2015-03-25,8573.45,8517.0,8568.9,8517.0,2015-03-25 09:15:00,8626.65,8536.95,8549.9,INSIDE
2015-03-26,8498.9,8326.35,8474.95,8382.3,2015-03-26 09:15:00,8573.45,8517.0,8517.0,BELOW
2015-03-27,8411.4,8269.55,8396.0,8348.05,2015-03-27 09:15:00,8498.9,8326.35,8382.3,INSIDE
2015-03-30,8504.25,8381.2,8391.7,8501.35,2015-03-30 09:15:00,8411.4,8269.55,8348.05,INSIDE
2015-03-31,8549.95,8455.05,8527.6,8480.9,2015-03-31 09:15:00,8504.25,8381.2,8501.35,ABOVE
2015-04-01,8600.6,8465.0,8483.7,8590.3,2015-04-01 09:15:00,8549.95,8455.05,8480.9,INSIDE
2015-04-06,8667.5,8573.85,8615.8,8652.0,2015-04-06 09:15:00,8600.6,8465.0,8590.3,ABOVE
2015-04-07,8692.5,8586.9,8684.45,8676.9,2015-04-07 09:15:00,8667.5,8573.85,8652.0,ABOVE
2015-04-08,8730.15,8679.85,8698.95,8717.35,2015-04-08 09:15:00,8692.5,8586.9,8676.9,ABOVE
2015-04-09,8785.3,8682.6,8756.2,8774.25,2015-04-09 09:15:00,8730.15,8679.85,8717.35,ABOVE
2015-04-10,8787.1,8734.35,8774.35,8767.55,2015-04-10 09:15:00,8785.3,8682.6,8774.25,INSIDE
2015-04-13,8841.35,8762.5,8801.75,8825.9,2015-04-13 09:15:00,8787.1,8734.35,8767.55,ABOVE
2015-04-15,8844.75,8722.95,8844.75,8735.5,2015-04-15 09:15:00,8841.35,8762.5,8825.9,ABOVE
2015-04-16,8759.1,8645.8,8757.05,8693.25,2015-04-16 09:15:00,8844.75,8722.95,8735.5,INSIDE
2015-04-17,8698.75,8596.95,8698.05,8602.05,2015-04-17 09:15:00,8759.1,8645.8,8693.25,INSIDE
2015-04-20,8619.95,8423.2,8615.4,8443.0,2015-04-20 09:15:00,8698.75,8596.95,8602.05,INSIDE
2015-04-21,8469.15,8353.1,8416.1,8398.1,2015-04-21 09:15:00,8619.95,8423.2,8443.0,BELOW
2015-04-22,8449.2,8284.85,8400.4,8436.5,2015-04-22 09:15:00,8469.15,8353.1,8398.1,INSIDE
2015-04-23,8504.95,8362.1,8478.2,8387.95,2015-04-23 09:15:00,8449.2,8284.85,8436.5,ABOVE
2015-04-24,8412.15,8273.8,8405.7,8320.15,2015-04-24 09:15:00,8504.95,8362.1,8387.95,INSIDE
2015-04-27,8331.4,8203.1,8330.55,8203.15,2015-04-27 09:15:00,8412.15,8273.8,8320.15,INSIDE
2015-04-28,8307.55,8185.75,8215.55,8264.85,2015-04-28 09:15:00,8331.4,8203.1,8203.15,INSIDE
2015-04-29,8308.05,8219.5,8274.8,8236.4,2015-04-29 09:15:00,8307.55,8185.75,8264.85,INSIDE
2015-04-30,8228.9,8145.0,8224.5,8204.95,2015-04-30 09:15:00,8308.05,8219.5,8236.4,INSIDE
2015-05-04,8345.35,8221.25,8230.05,8342.65,2015-05-04 09:15:00,8228.9,8145.0,8204.95,ABOVE
2015-05-05,8355.55,8280.6,8338.4,8321.1,2015-05-05 09:15:00,8345.35,8221.25,8342.65,INSIDE
2015-05-06,8330.3,8083.35,8316.6,8092.45,2015-05-06 09:15:00,8355.55,8280.6,8321.1,INSIDE
2015-05-07,8122.2,7997.35,8077.0,8047.15,2015-05-07 09:15:00,8330.3,8083.35,8092.45,BELOW
2015-05-08,8224.9,8123.65,8131.5,8190.3,2015-05-08 09:15:00,8122.2,7997.35,8047.15,ABOVE
2015-05-11,8332.7,8224.85,8243.2,8320.05,2015-05-11 09:15:00,8224.9,8123.65,8190.3,ABOVE
2015-05-12,8326.15,8115.45,8326.15,8125.0,2015-05-12 09:15:00,8332.7,8224.85,8320.05,INSIDE
2015-05-13,8254.55,8090.8,8181.55,8237.4,2015-05-13 09:15:00,8326.15,8115.45,8125.0,INSIDE
2015-05-14,8235.9,8137.55,8232.45,8221.15,2015-05-14 09:15:00,8254.55,8090.8,8237.4,INSIDE
2015-05-15,8278.9,8213.1,8240.3,8254.75,2015-05-15 09:15:00,8235.9,8137.55,8221.15,ABOVE
2015-05-18,8384.35,8271.95,8284.95,8376.2,2015-05-18 09:15:00,8278.9,8213.1,8254.75,ABOVE
2015-05-19,8427.55,8335.25,8356.2,8357.05,2015-05-19 09:15:00,8384.35,8271.95,8376.2,INSIDE
2015-05-20,8440.2,8392.65,8392.65,8413.15,2015-05-20 09:15:00,8427.55,8335.25,8357.05,INSIDE
2015-05-21,8442.2,8382.7,8434.5,8419.05,2015-05-21 09:15:00,8440.2,8392.65,8413.15,INSIDE
2015-05-22,8489.0,8420.9,8432.5,8448.35,2015-05-22 09:15:00,8442.2,8382.7,8419.05,INSIDE
2015-05-25,8441.95,8364.25,8438.15,8366.9,2015-05-25 09:15:00,8489.0,8420.9,8448.35,INSIDE
2015-05-26,8378.45,8320.15,8377.65,8354.8,2015-05-26 09:15:00,8441.95,8364.25,8366.9,INSIDE
2015-05-27,8342.6,8278.3,8302.75,8337.1,2015-05-27 09:15:00,8378.45,8320.15,8354.8,BELOW
2015-05-28,8364.2,8270.3,8345.7,8319.0,2015-05-28 09:15:00,8342.6,8278.3,8337.1,ABOVE
2015-05-29,8443.45,8306.7,8327.1,8432.95,2015-05-29 09:15:00,8364.2,8270.3,8319.0,INSIDE
2015-06-01,8467.05,8406.25,8417.25,8422.55,2015-06-01 09:15:00,8443.45,8306.7,8432.95,INSIDE
2015-06-02,8442.8,8226.55,8442.8,8232.25,2015-06-02 09:15:00,8467.05,8406.25,8422.55,INSIDE
2015-06-03,8234.4,8094.45,8232.45,8148.55,2015-06-03 09:15:00,8442.8,8226.55,8232.25,INSIDE
2015-06-04,8158.6,8057.3,8155.15,8136.95,2015-06-04 09:15:00,8234.4,8094.45,8148.55,INSIDE
2015-06-05,8190.8,8101.3,8119.15,8113.9,2015-06-05 09:15:00,8158.6,8057.3,8136.95,INSIDE
2015-06-08,8129.15,8030.65,8124.35,8036.95,2015-06-08 09:15:00,8190.8,8101.3,8113.9,INSIDE
2015-06-09,8057.05,8005.5,8026.5,8015.45,2015-06-09 09:15:00,8129.15,8030.65,8036.95,BELOW
2015-06-10,8152.15,8024.15,8024.15,8125.5,2015-06-10 09:15:00,8057.05,8005.5,8015.45,INSIDE
2015-06-11,8161.65,7958.45,8157.3,7964.85,2015-06-11 09:15:00,8152.15,8024.15,8125.5,ABOVE
2015-06-12,7995.3,7940.95,7959.85,7991.45,2015-06-12 09:15:00,8161.65,7958.45,7964.85,INSIDE
2015-06-15,8057.65,7945.55,7986.6,8006.15,2015-06-15 09:15:00,7995.3,7940.95,7991.45,INSIDE
2015-06-16,8061.65,7952.65,8004.2,8057.2,2015-06-16 09:15:00,8057.65,7945.55,8006.15,INSIDE
2015-06-17,8136.6,8049.75,8084.2,8089.7,2015-06-17 09:15:00,8061.65,7952.65,8057.2,ABOVE
2015-06-18,8186.75,8103.6,8113.7,8178.35,2015-06-18 09:15:00,8136.6,8049.75,8089.7,INSIDE
2015-06-19,8250.25,8199.65,8201.15,8232.95,2015-06-19 09:15:00,8186.75,8103.6,8178.35,ABOVE
2015-06-22,8369.35,8259.3,8259.3,8352.3,2015-06-22 09:15:00,8250.25,8199.65,8232.95,ABOVE
2015-06-23,8398.35,8335.75,8377.45,8381.1,2015-06-23 09:15:00,8369.35,8259.3,8352.3,ABOVE
2015-06-24,8421.15,8339.35,8399.4,8339.85,2015-06-24 09:15:00,8398.35,8335.75,8381.1,ABOVE
2015-06-25,8423.05,8330.3,8336.25,8415.05,2015-06-25 09:15:00,8421.15,8339.35,8339.85,BELOW
2015-06-26,8408.35,8340.1,8393.95,8382.2,2015-06-26 09:15:00,8423.05,8330.3,8415.05,INSIDE
2015-06-29,8329.35,8196.1,8247.05,8326.4,2015-06-29 09:15:00,8408.35,8340.1,8382.2,BELOW
2015-06-30,8377.85,8299.1,8316.35,8371.6,2015-06-30 09:15:00,8329.35,8196.1,8326.4,INSIDE
2015-07-01,8474.3,8370.15,8376.25,8462.5,2015-07-01 09:15:00,8377.85,8299.1,8371.6,INSIDE
2015-07-02,8479.25,8433.3,8471.95,8440.95,2015-07-02 09:15:00,8474.3,8370.15,8462.5,INSIDE
2015-07-03,8497.75,8424.5,8440.1,8486.35,2015-07-03 09:15:00,8479.25,8433.3,8440.95,INSIDE
2015-07-06,8532.1,8386.15,8386.15,8523.4,2015-07-06 09:15:00,8497.75,8424.5,8486.35,BELOW
2015-07-07,8561.1,8483.9,8525.5,8516.95,2015-07-07 09:15:00,8532.1,8386.15,8523.4,INSIDE
2015-07-08,8457.5,8341.5,8439.2,8354.65,2015-07-08 09:15:00,8561.1,8483.9,8516.95,BELOW
2015-07-09,8400.0,8323.0,8364.85,8335.15,2015-07-09 09:15:00,8457.5,8341.5,8354.65,INSIDE
2015-07-10,8376.85,8315.65,8365.7,8357.05,2015-07-10 09:15:00,8400.0,8323.0,8335.15,INSIDE
2015-07-13,8471.2,8355.4,8397.25,8461.4,2015-07-13 09:15:00,8376.85,8315.65,8357.05,ABOVE
2015-07-14,8479.95,8424.6,8470.6,8442.4,2015-07-14 09:15:00,8471.2,8355.4,8461.4,INSIDE
2015-07-15,8531.05,8463.4,8463.4,8526.0,2015-07-15 09:15:00,8479.95,8424.6,8442.4,INSIDE
2015-07-16,8615.95,8543.85,8545.8,8610.8,2015-07-16 09:15:00,8531.05,8463.4,8526.0,ABOVE
2015-07-17,8642.65,8593.4,8623.65,8613.85,2015-07-17 09:15:00,8615.95,8543.85,8610.8,ABOVE
2015-07-20,8623.9,8559.1,8623.9,8602.3,2015-07-20 09:15:00,8642.65,8593.4,8613.85,INSIDE
2015-07-21,8646.7,8518.25,8601.5,8531.9,2015-07-21 09:15:00,8623.9,8559.1,8602.3,INSIDE
2015-07-22,8643.85,8499.55,8512.25,8631.65,2015-07-22 09:15:00,8646.7,8518.25,8531.9,BELOW
2015-07-23,8654.6,8573.95,8643.95,8586.8,2015-07-23 09:15:00,8643.85,8499.55,8631.65,ABOVE
2015-07-24,8588.15,8513.5,8588.15,8527.1,2015-07-24 09:15:00,8654.6,8573.95,8586.8,INSIDE
2015-07-27,8492.1,8352.5,8492.1,8362.0,2015-07-27 09:15:00,8588.15,8513.5,8527.1,BELOW
2015-07-28,8397.3,8321.95,8371.1,8341.2,2015-07-28 09:15:00,8492.1,8352.5,8362.0,INSIDE
2015-07-29,8381.25,8338.55,8365.6,8380.35,2015-07-29 09:15:00,8397.3,8321.95,8341.2,INSIDE
